object_num,max_cc_time,time_start,time_end,max_cc_val,max_sig,time_diff
94,1064.0,1024.4,1085.2,-0.4285,-2.54922,60.8
95,416.4,394.4,490.8,0.36132,2.20046,96.4
95,2097.6,2056.4,2129.2,0.44133,2.46316,72.8
96,947.6,888.4,1003.2,-0.58823,-2.7126,114.8
100,-1241.6,-1251.6,-1228.0,-0.55843,-2.53475,23.6
100,-3.6,-14.4,13.2,0.42418,2.66795,27.6
100,854.4,803.6,869.6,0.40146,2.69065,66.0
100,1324.8,1295.6,1358.8,-0.2993,-2.33832,63.2
101,-1050.4,-1063.6,-1038.4,0.37109,2.16066,25.2
101,-895.2,-912.4,-877.6,0.34785,2.26611,34.8
101,-563.2,-573.6,-544.8,-0.33812,-2.47066,28.8
101,-96.4,-126.4,-81.6,0.3015,2.74766,44.8
101,-0.8,-8.0,47.6,0.29322,2.4638,55.6
101,847.6,829.6,878.4,0.28443,2.58325,48.8
103,-245.6,-262.8,-230.0,0.52735,2.84114,32.8
103,2.4,-6.8,17.2,0.63658,3.64794,24.0
103,581.6,552.8,605.6,0.48693,2.50876,52.8
106,-579.6,-646.4,-562.8,0.42693,2.43782,83.6
106,573.2,487.6,590.0,-0.3845,-2.74208,102.4
106,1707.2,1694.0,1769.6,0.36909,2.4725,75.6
107,-1479.6,-1494.0,-1456.8,0.59489,2.99069,37.2
107,-1172.4,-1181.6,-1153.2,-0.50463,-2.45901,28.4
107,-1061.2,-1073.2,-1050.4,-0.5583,-2.68941,22.8
107,-977.2,-997.6,-958.8,-0.57307,-3.02861,38.8
107,-733.2,-768.8,-714.0,0.53009,3.18307,54.8
107,-668.0,-676.8,-650.4,0.51251,3.12944,26.4
107,-119.2,-131.6,-104.0,0.47776,2.85979,27.6
107,0.0,-9.6,15.2,0.72724,4.46658,24.8
107,390.8,340.4,407.6,-0.52691,-3.05496,67.2
107,1062.8,1028.4,1077.6,-0.61912,-3.51946,49.2
108,2.4,-13.6,19.2,0.24923,2.43465,32.8
109,1319.2,1303.6,1376.0,0.25085,2.21133,72.4
109,1629.6,1600.8,1654.0,-0.24976,-2.19304,53.2
113,7.2,-14.4,29.6,0.55292,3.37278,44.0
116,-6.0,-59.6,18.8,0.39622,2.83203,78.4
116,766.4,740.0,839.6,-0.35463,-2.1803,99.6
116,1543.6,1514.8,1569.6,0.29202,2.27617,54.8
116,1690.4,1651.2,1715.2,0.32169,2.4959,64.0
121,-902.0,-915.2,-870.0,0.63997,2.66528,45.2
121,-468.8,-495.2,-457.2,-0.44192,-2.3896,38.0
121,-30.0,-47.6,-14.0,0.51535,3.10092,33.6
122,1915.2,1897.6,1939.6,0.41245,2.34709,42.0
122,2272.8,2257.6,2290.8,0.41193,2.18823,33.2
124,-4.4,-38.8,17.6,0.31327,2.22968,56.4
124,1746.0,1726.4,1795.6,0.31414,2.30676,69.2
127,-1300.0,-1320.4,-1286.8,0.4959,2.3009,33.6
127,-582.4,-616.8,-566.8,-0.38661,-2.51326,50.0
127,1240.8,1225.2,1282.4,0.41366,2.31806,57.2
127,1423.2,1381.2,1435.6,0.3798,2.18914,54.4
127,1619.2,1529.6,1632.0,0.404,2.49055,102.4
127,1769.6,1706.8,1784.4,0.3896,2.5425,77.6
128,2174.0,2134.4,2188.8,0.54921,2.81591,54.4
128,2300.4,2266.0,2317.2,0.56778,3.02439,51.2
129,-436.4,-468.0,-413.2,-0.63613,-2.83835,54.8
129,27.6,-5.2,38.4,0.50111,2.59591,43.6
129,598.4,523.6,745.2,0.50283,2.53538,221.6
130,2.4,-30.8,31.2,0.31748,2.52445,62.0
131,-361.2,-382.8,-335.6,-0.35058,-2.34738,47.2
131,6.4,-5.2,19.6,0.46399,3.55019,24.8
131,208.8,194.8,245.6,-0.30322,-2.44817,50.8
131,355.6,343.2,375.2,-0.28144,-2.23276,32.0
131,574.0,565.6,600.8,0.40118,2.62431,35.2
131,1923.2,1901.2,1939.2,-0.29672,-2.21292,38.0
134,-323.2,-337.6,-308.8,-0.31065,-2.19391,28.8
134,-2.4,-18.0,19.6,0.36484,2.5518,37.6
134,1334.4,1320.0,1368.8,0.28867,2.3408,48.8
134,1645.6,1635.6,1692.0,-0.32339,-2.49204,56.4
134,2166.4,2153.6,2193.2,0.30173,2.37231,39.6
134,2533.6,2494.4,2554.0,-0.3096,-2.27079,59.6
